name,type,location,feelings,ailments,url,image,flavor,thc,cbd
Ogre,Indica,Unknown,"Lazy, Relaxed, Sleepy",Insomnia,https://www.marijuana.com/strains/ogre/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346273845875open_uri20110719_30554_1x22zxt_jpg_leader-351x185.jpg,"Sweet, Pine",86,31
Ogre Kush,Indica,Unknown,"Anxious, Aroused, Inspired","ADD, Arthritis, Psychosis",https://www.marijuana.com/strains/ogre-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/ogre-kush-351x185.jpg,"Berry, Grape, Lavender",30,87
Orange Crush,Sativa,Unknown,"Giggly, Sociable","ADD, Asthma, Crohn's Disease",https://www.marijuana.com/strains/orange-crush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/orange-crush-351x185.jpg,"Sweet, Berry",46,65
Orange Kush,Hybrid,Unknown,"Lazy, Relaxed, Sleepy","Anxiety, Insomnia",https://www.marijuana.com/strains/orange-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346273939690open_uri20110823_31806_fbuvhv_jpg_leader-351x185.jpg,"Earthy, Sweet",29,2
Oregon Kid Blackberry Kush,Indica,Oregon,"Euphoric, Sleepy, Solitary",Insomnia,https://www.marijuana.com/strains/oregon-kid-blackberry-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/black-berry-kush-351x185.jpg,"Earthy, Pine",20,53
Permafrost,Hybrid,Unknown,"Attentive, Energetic, Happy, Relaxed","ADHD, Back Pain, Depression, Headaches, Nausea, Neck Pain, PTSD, RLS",https://www.marijuana.com/strains/permafrost/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/permafrost-white--351x185.jpg,"Earthy, Berry",96,54
Phantom Cookies,Hybrid,United States,"Hungry, Lazy, Relaxed, Sleepy","Anxiety, Appetite, Arthritis, Back Pain, Fibromyalgia, Migraines, Nausea, PTSD",https://www.marijuana.com/strains/phantom-cookies/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/PhantomCookies-351x185.jpg,"Berry, Sweet",41,89
Phishhead Kush,Hybrid,Colorado ,"Hungry, Lazy, Relaxed, Sleepy","Anxiety, Headaches, Muscle Spasms, Psychosis",https://www.marijuana.com/strains/phishhead-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/phishhead-kush-351x185.jpg,"Coffee, Pine",87,94
Pineapple,Sativa,Unknown,"Alert, Attentive, Creative, Energetic, Euphoric, Happy, Lazy","ADD, ADHD, Anxiety, Depression",https://www.marijuana.com/strains/pineapple/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346274441388open_uri20110719_30532_3jwqey_jpg_leader-351x185.jpg,"Berry, Grape, Sweet",28,54
Pineapple Express,Sativa,"Hawaii, U.S.","Alert, Attentive, Creative, Energetic, Motivated","Anxiety, Arthritis, Asthma, Back Pain, Fibromyalgia, Headaches, Migraines, Muscle Spasms, Multiple Sclerosis, Neck Pain",https://www.marijuana.com/strains/pineapple-express/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/thenug-m4HMYsbo0i-351x185.jpg,"Sweet, Earthy",56,65
Pineapple Skunk,Hybrid,Northern California,"Alert, Aroused, Creative, Energetic, Sociable","ADHD, Back Pain, Depression, Fibromyalgia, Glaucoma, Muscle Spasms, Multiple Sclerosis, Neck Pain, PTSD",https://www.marijuana.com/strains/pineapple-skunk/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/071116F_30094_pineapple-1-351x185.jpg,"Grape, Sweet, Berry",12,97
Platinum Kush,Indica,Unknown,"Aroused, Euphoric, Happy, Hungry, Inspired, Relaxed, Sleepy","ADHD, Anxiety, Arthritis, Insomnia, Migraines",https://www.marijuana.com/strains/platinum-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346187885190open_uri20110722_4719_y88n5b_jpg_leader1-351x185.jpg,"Grape, Sweet, Berry",74,54
Platinum OG,Hybrid,Unknown,"Attentive, Inspired, Sleepy","Back Pain, Fibromyalgia, Nausea",https://www.marijuana.com/strains/platinum-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/platinum-OG-351x185.jpg,Citrus,83,52
Plum,Hybrid,Unknown,"Happy, Motivated, Sociable","Crohn's Disease, Migraines, RLS",https://www.marijuana.com/strains/plum/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/plum-351x185.jpg,"Grape, Sweet",91,55
Plushberry,Indica,"Pacific Northwest, U.S.","Aroused, Creative, Energetic, Euphoric, Motivated","ADHD, Anxiety, Appetite, Back Pain, Depression, Nausea, Neck Pain, Seizures",https://www.marijuana.com/strains/plushberry/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/07/Screen-Shot-2014-09-15-at-7.05.52-AM-351x185.png,"Skunk, Earthy, Grape",80,96
Pot of Gold,Indica,Unknown,"Lazy, Relaxed, Sleepy",Insomnia,https://www.marijuana.com/strains/pot-of-gold/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346274843117open_uri20110829_21681_88g7ed_jpg_leader-351x185.jpg,Pineapple,20,19
Power Plant,Sativa,South Africa,"Aroused, Attentive, Energetic, Happy, Relaxed, Sociable","ADD, ADHD, Anxiety, Headaches, Muscle Spasms, Seizures",https://www.marijuana.com/strains/power-plant/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/dinafem_power_kush-351x185.jpg,"Lemon, Citrus",70,39
Presidential OG,Hybrid,United States,"Giggly, Happy, Hungry, Relaxed, Sleepy, Sociable","ADD, Appetite, Back Pain, Depression, Migraines, PTSD",https://www.marijuana.com/strains/presidential-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/Presidential-351x185.jpg,"Sweet, Citrus, Rose",4,25
Private Reserve,Indica,California,"Lazy, Sleepy, Solitary","Headaches, Nausea",https://www.marijuana.com/strains/private-reserve/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/124073_dry_1-351x185.jpg,"Earthy, Citrus",82,97
Pure Kush,Indica,Unknown,"Alert, Attentive, Happy","Arthritis, Back Pain, Headaches, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/pure-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346187677796open_uri20110827_21693_14hekzs_jpg_leader-351x185.jpg,"Sweet, Earthy",78,13
Purple Diesel,Hybrid,Unknown,"Alert, Aroused, Creative, Euphoric, Relaxed","Anxiety, Back Pain, Depression, Headaches, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/purple-diesel/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346187298837open_uri20110822_31768_lpipb5_jpg_leader-351x185.jpg,Pine,85,98
Purple Haze,Sativa,Unknown,"Alert, Attentive, Creative, Euphoric, Lazy, Motivated","Anxiety, Muscle Spasms",https://www.marijuana.com/strains/purple-haze/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346200880832purple_haze_01_jpg_leader-351x185.jpg,"Sweet, Citrus",91,97
Purple Kush,Indica,Unknown,"Attentive, Happy, Inspired, Lazy, Sleepy","ADHD, Epilepsy, Insomnia",https://www.marijuana.com/strains/purple-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346181281623open_uri20110716_19794_xz790e_jpeg_leader-351x185.jpeg,"Sweet, Earthy",87,69
Purple Nepal,Indica,Unknown,"Lazy, Relaxed, Sleepy","Depression, IBS, Neck Pain",https://www.marijuana.com/strains/purple-nepal/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/purple-nepal-351x185.jpeg,"Berry, Earthy",42,23
Purple Trainwreck,Hybrid,Unknown,"Creative, Euphoric, Sociable","Depression, Diabetic Neuropathy, Glaucoma",https://www.marijuana.com/strains/purple-trainwreck/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/purple-trainwreck-351x185.jpg,"Sweet, Earthy",25,35
Purple Urkle,Hybrid,Unknown,"Lazy, Relaxed, Sleepy","Arthritis, Back Pain, Headaches, Insomnia, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/purple-urkle/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346186356099Purple_Urkle_2_jpeg_leader-351x185.jpeg,"Earthy, Sweet",82,29
Purple Voodoo,Hybrid,Unknown,"Alert, Energetic, Inspired","ADHD, Anxiety, HIV",https://www.marijuana.com/strains/purple-voodoo/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/purple-voodoo-351x185.jpg,Berry,21,94
Querkle,Hybrid,Unknown,"Euphoric, Happy, Relaxed","Anxiety, Fibromyalgia, PTSD",https://www.marijuana.com/strains/querkle/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346192362054open_uri20110723_4701_kgqscc_jpg_leader-351x185.jpg,"Berry, Earthy",89,51
Red Diesel,Hybrid,Unknown,"Anxious, Aroused, Inspired","ADD, Back Pain, Psychosis",https://www.marijuana.com/strains/red-diesel/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/red-diesel-351x185.jpg,Earthy,91,43
Red Dragon,Hybrid,Unknown,"Alert, Anxious, Inspired","Migraines, Multiple Sclerosis, PTSD",https://www.marijuana.com/strains/red-dragon/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/red-dragon-351x185.jpg,Earthy,64,90
Red Stem Afghani,Indica,Pakistan,"Relaxed, Sleepy","Anxiety, Appetite, Back Pain",https://www.marijuana.com/strains/red-stem-afghani/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/afghani_3985-351x185.jpg,"Sweet, Earthy, Skunk",70,86
Romulan,Indica,Canada,"Lazy, Relaxed, Sleepy","Anxiety, Depression, Migraines",https://www.marijuana.com/strains/romulan/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/Romulan_marijuana_string_review_II-351x185.jpg,"Berry, Sweet",35,74
Royal Kush,Indica,Unknown,"Alert, Euphoric, Hungry","Anxiety, Insomnia, RLS",https://www.marijuana.com/strains/royal-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/royal-kush-351x185.jpg,"Sweet, Citrus",28,85
Sage,Hybrid,Unknown,"Anxious, Attentive, Creative, Energetic, Euphoric, Happy, Relaxed","Anxiety, Fibromyalgia, HIV, Migraines",https://www.marijuana.com/strains/sage/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346274694502open_uri20110719_30559_1m6o8w7_jpg_leader-351x185.jpg,"Citrus, Sweet",97,20
Sensi Star,Indica,Unknown,"Anxious, Lazy, Relaxed, Sleepy, Solitary","Arthritis, Back Pain, Headaches, Migraines, Neck Pain",https://www.marijuana.com/strains/sensi-star/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/1346179881168Professional_Patient_Co_op___Sensi_Star_jpeg_leader-351x185.jpeg,Sweet,16,12
SFV OG Kush,Hybrid,Unknown,"Lazy, Solitary","Arthritis, Multiple Sclerosis, Neck Pain",https://www.marijuana.com/strains/sfv-og-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/sfv-OG-351x185.jpg,"Earthy, Sweet",15,36
Sharks Breath,Indica,Canada,"Hungry, Relaxed, Sleepy","Anxiety, Back Pain, Glaucoma, Headaches, Insomnia, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/sharks-breath/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/07/sharks-351x185.jpg,"Berry, Sweet, Blueberry",30,95
Shiva,Sativa,Unknown,"Attentive, Sociable","ADHD, Depression, Insomnia",https://www.marijuana.com/strains/shiva/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/shiva-351x185.jpg,Earthy,90,52
Shiva Skunk,Hybrid,Amsterdam,"Aroused, Creative, Energetic, Euphoric, Inspired, Solitary","ADHD, Appetite, Depression",https://www.marijuana.com/strains/shiva-skunk/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/shivaskunk-351x185.jpg,"Earthy, Sweet",51,12
Silver Haze,Hybrid,Unknown,"Alert, Attentive, Creative, Energetic, Inspired, Sociable","ADD, ADHD, Anxiety, Arthritis, Epilepsy, Migraines",https://www.marijuana.com/strains/silver-haze/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346274103641Silver_Haze_Closeup_jpg_leader-351x185.jpg,"Skunk, Earthy, Sweet",10,38
Silver Sufer,Hybrid,Unknown,"Motivated, Sociable, Solitary","Crohn's Disease, Epilepsy, Neck Pain",https://www.marijuana.com/strains/silver-sufer/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/silfer-surfer-351x185.jpg,"Pine, Pineapple, Earthy",40,56
Skunk,Sativa,Unknown,"Anxious, Giggly, Solitary","ADHD, Glaucoma, Nausea",https://www.marijuana.com/strains/skunk/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/skunk-351x185.jpg,"Earthy, Citrus",5,65
Skunkberry,Hybrid,Unknown,"Happy, Inspired, Motivated","Hepatitis, Seizures",https://www.marijuana.com/strains/skunkberry/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/skunkberry-351x185.jpg,"Sweet, Skunk",73,92
Skywalker,Hybrid,Unknown,"Alert, Anxious, Creative","ADD, Anxiety, Back Pain",https://www.marijuana.com/strains/skywalker/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/skywalker-351x185.jpg,"Sweet, Citrus",4,11
Skywalker OG,Indica,Unknown,"Lazy, Relaxed, Sleepy","Arthritis, Back Pain, Headaches, Insomnia, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/skywalker-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346180317385Skywalker_OGG_jpeg_leader-351x185.jpeg,"Earthy, Pine",8,53
Snow Cap Strain,Sativa,"California, U.S.","Alert, Attentive, Creative, Energetic, Euphoric, Inspired, Sociable","Anxiety, Appetite, Back Pain, Epilepsy, Headaches, Migraines, Muscle Spasms, Neck Pain, PTSD",https://www.marijuana.com/strains/snow-cap-strain/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/Screen-Shot-2015-12-24-at-6.40.53-AM-351x185.png,"Citrus, Sweet",75,43
Sour Apple,Sativa,California,"Alert, Attentive, Creative, Euphoric, Giggly, Sociable","ADHD, Anxiety, Asthma, Back Pain, Epilepsy, Fibromyalgia, Migraines, Muscle Spasms, Multiple Sclerosis, Seizures",https://www.marijuana.com/strains/sour-apple/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/nyc-diesel-1-351x185.jpg,"Lemon, Citrus, Earthy",74,46
Sour Bubble,Hybrid,Unknown,"Relaxed, Sleepy","Arthritis, Back Pain, Headaches, Insomnia, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/sour-bubble/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346272293875open_uri20110723_28216_3kfgul_jpg_leader-351x185.jpg,Citrus,54,95
Sour Cheese,Hybrid,Unknown,"Euphoric, Hungry","ADD, Hepatitis, Muscle Spasms",https://www.marijuana.com/strains/sour-cheese/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/sour-cheese-351x185.jpg,"Earthy, Skunk",96,27
Sour Diesel,Sativa,Unknown,"Creative, Giggly, Happy, Motivated, Relaxed","Anxiety, Arthritis, Back Pain, Depression, Insomnia",https://www.marijuana.com/strains/sour-diesel/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346127664851open_uri20110719_30532_nhr327_jpeg_leader-351x185.jpeg,"Earthy, Lime",63,43
Sour Grape,Indica,Unknown,"Aroused, Sociable, Solitary","ADD, Depression, Headaches, Insomnia",https://www.marijuana.com/strains/sour-grape/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/sour-grape-lush-351x185.jpg,"Earthy, Lime",12,97
Sour Kush,Hybrid,Unknown,"Alert, Anxious, Creative","ADD, Anxiety, Back Pain",https://www.marijuana.com/strains/sour-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/sour-kush-351x185.jpg,"Earthy, Sweet",22,98
Sour Mango,Hybrid,Unknown,"Energetic, Hungry, Sleepy","Cachexia, Multiple Sclerosis, RLS",https://www.marijuana.com/strains/sour-mango/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/sourmango-351x185.jpg,"Earthy, Citrus, Lemon",33,98
Sour OG,Hybrid,Unknown,"Attentive, Creative, Energetic","ADD, Anxiety, Neck Pain",https://www.marijuana.com/strains/sour-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/sour-og-351x185.jpg,"Pine, Citrus",59,36
Space Bomb,Hybrid,Unknown,"Energetic, Happy, Hungry","Hepatitis, Insomnia, Muscle Spasms",https://www.marijuana.com/strains/space-bomb/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/space-bomb-351x185.jpg,"Earthy, Pine",55,74
Space Queen,Hybrid,Unknown,"Alert, Attentive, Creative, Energetic, Inspired","ADD, Anxiety, Depression, Migraines",https://www.marijuana.com/strains/space-queen/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346180624343open_uri20110724_4690_11sxkbf_jpeg_leader-351x185.jpeg,"Sweet, Orange",89,56
Strawberry Cough,Indica,Unknown,"Attentive, Creative, Relaxed, Sociable","ADHD, Anxiety, Back Pain, Depression, Neck Pain",https://www.marijuana.com/strains/strawberry-cough/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346122158333strawberry_cough_final_jpeg_leader-351x185.jpeg,"Sweet, Orange",64,3
Strawberry Diesel,Indica,United States,"Creative, Energetic, Euphoric, Sociable","Anxiety, Depression",https://www.marijuana.com/strains/strawberry-diesel-2/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/stawberry_diesel-351x185.jpg,"Earthy, Sweet, Citrus",1,10
Strawberry Haze,Sativa,Netherlands,"Alert, Attentive, Happy, Inspired","Back Pain, Depression, Headaches, Multiple Sclerosis, Neck Pain",https://www.marijuana.com/strains/strawberry-haze/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/07/strawberry-2-351x185.jpg,"Mango, Sweet, Orange",30,40
Strawberry Ice,Hybrid,Unknown,"Giggly, Hungry, Sociable","Crohn's Disease, Fibromyalgia, Insomnia",https://www.marijuana.com/strains/strawberry-ice/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/strawberryice2-351x185.jpg,Sweet,24,23
Strawberry Kush,Indica,Unknown,"Giggly, Inspired, Sleepy","ADD, Asthma, PTSD",https://www.marijuana.com/strains/strawberry-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/strawberry-omg-kush-351x185.jpg,Citrus,29,84
Sugar Kush,Hybrid,Unknown,"Attentive, Lazy, Sociable","Arthritis, Migraines, Muscle Spasms",https://www.marijuana.com/strains/sugar-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/sugar-kush-351x185.jpg,Earthy,13,11
Super Glue,Indica,California,"Attentive, Creative, Giggly, Relaxed, Sociable","ADD, Appetite, Arthritis, Asthma, Crohn's Disease, Diabetic Neuropathy, Fibromyalgia, Hepatitis, IBS, Multiple Sclerosis, Psychosis, PTSD",https://www.marijuana.com/strains/super-glue/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/10/tko_gorilla_glue_4-351x185.jpg,Earthy,2,4
Super Jack,Sativa,Unknown,"Attentive, Creative, Euphoric","ADD, Diabetic Neuropathy, Multiple Sclerosis",https://www.marijuana.com/strains/super-jack-2/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/super-jack-351x185.jpg,"Citrus, Earthy",2,29
Super Lemon Haze,Indica,Unknown,"Alert, Anxious",PTSD,https://www.marijuana.com/strains/super-lemon-haze/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/super-lemon-haze-cover-351x185.jpeg,"Pine, Earthy, Sweet",53,35
Super Silver Haze,Indica,Unknown,"Attentive, Creative, Energetic, Euphoric, Inspired","Anxiety, Headaches, Migraines",https://www.marijuana.com/strains/super-silver-haze/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346124807131open_uri20111029_6255_1c3trb6_jpeg_leader-351x185.jpeg,"Earthy, Pine, Sweet",53,49
Super Skunk,Hybrid,Unknown,"Energetic, Happy, Hungry","Appetite, Back Pain, Depression, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/super-skunk/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346270025947IMG_0182_JPG_leader-351x185.jpg,"Lavender, Sweet",62,45
Super Sour Diesel,Sativa,Amsterdam,"Attentive, Creative, Energetic, Euphoric, Giggly, Hungry, Relaxed","ADHD, Anxiety, Asthma, Back Pain, Depression, Fibromyalgia, Headaches, Muscle Spasms, Multiple Sclerosis, Nausea",https://www.marijuana.com/strains/super-sour-diesel/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/sour-diesel-weed-sour-diesel-mmj-cannabis-sour-d-thcfinder-001-01099s-1-351x185.jpg,"Lime, Earthy",55,74
Sweet Berry,Hybrid,Unknown,"Hungry, Sleepy","Cachexia, Multiple Sclerosis, Nausea",https://www.marijuana.com/strains/sweet-berry/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/sweetberry-351x185.jpg,Blueberry,63,48
Sweet Tooth,Indica,Unknown,"Happy, Hungry, Lazy, Sleepy","Arthritis, Back Pain, Headaches, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/sweet-tooth/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346125493956open_uri20110822_31815_5xjuzd_leader-351x185.jpg,"Lemon, Sweet",41,84
Tahoe Alien,Hybrid,Unknown,Hungry,Anxiety,https://www.marijuana.com/strains/tahoe-alien/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/alienrockcandy-351x185.jpg,"Lemon, Citrus, Sweet",27,95
Tahoe OG,Indica,Unknown,"Relaxed, Sleepy, Solitary","Anxiety, Headaches, Nausea",https://www.marijuana.com/strains/tahoe-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/tahoe-og-351x185.jpg,"Lemon, Citrus, Sweet",75,96
Tahoe OG Kush,Indica,Unknown,"Lazy, Relaxed, Sleepy","Crohn's Disease, Depression, Glaucoma",https://www.marijuana.com/strains/tahoe-og-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/tahoe-og1-351x185.jpg,"Lemon, Citrus, Sweet",16,33
Tangerine,Indica,Unknown,"Energetic, Happy, Lazy","ADHD, Cachexia, Nausea",https://www.marijuana.com/strains/tangerine/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/tangie-351x185.jpg,"Lemon, Sweet",16,90
Tangerine Dream,Sativa,Unknown,"Alert, Creative, Energetic, Sociable","ADD, Cachexia, Muscle Spasms",https://www.marijuana.com/strains/tangerine-dream/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/tangerine-dream-351x185.jpg,"Lime, Citrus, Lemon",87,54
THC Bomb,Hybrid,Unknown,"Energetic, Euphoric, Solitary","ADD, Glaucoma, Radiculopathy",https://www.marijuana.com/strains/thc-bomb/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/violator-kush-351x185.jpeg,Earthy,88,79
The Purps,Hybrid,Unknown,"Attentive, Euphoric, Happy, Inspired, Relaxed","Anxiety, Appetite, Depression",https://www.marijuana.com/strains/the-purps/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346125999040open_uri20110719_30543_1s0jp1f_jpeg_leader-351x185.jpeg,"Earthy, Citrus, Lime",23,96
Trainwreck,Sativa,Unknown,"Alert, Attentive, Euphoric, Giggly, Happy, Hungry, Motivated, Relaxed","Anxiety, Back Pain, Depression, Nausea, Neck Pain",https://www.marijuana.com/strains/trainwreck/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346127781474TrainWreckl_jpeg_leader-351x185.jpeg,"Sweet, Honey",24,27
Trinity,Sativa,Unknown,"Anxious, Aroused, Hungry","Appetite, Fibromyalgia, Hepatitis",https://www.marijuana.com/strains/trinity/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/trinity-351x185.jpg,"Earthy, Lemon",47,60
True OG,Indica,Unknown,"Aroused, Motivated, Sociable","Anxiety, Epilepsy, HIV",https://www.marijuana.com/strains/true-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/TRUE-OG-351x185.jpg,"Citrus, Pine, Earthy",18,55
